Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;BENEDITO MATARAZZO DEPUTADO;35001557;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MINDANAU, 111 RUA. JARDIM AMERICA. 12235-430 São José dos Campos - SP.";(12) 39331066;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-23.23492873;-45.9022628
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL SEMEAR;35004209;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"JOSE ALVES DE SIQUEIRA FILHO, 136 VILA BETANIA. 12245-492 São José dos Campos - SP.";(12) 39115177;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.2089307;-45.8922433
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL MOINHO DE VENTO;35004213;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"IPANEMA, 632 JARDIM SATELITE. 12230-070 São José dos Campos - SP.";(12) 30288008;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.228332;-45.8817571
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARIA ANTONIETA FERREIRA PAYAR PROFA EMEF;35004243;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"TRES, S/N CONJUNTO HABITACIONA. PINHERINHO DOS PALMARES. 12228-256 São José dos Campos - SP.";(12) 39122739;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental;Atividade Complementar;-23.2485064;-45.8039966
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO PLANCK;35004369;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"ALFREDO IGNACIO NOGUEIRA PENIDO, 550 PARQUE RESIDENCIAL AQUARIUS. 12246-000 São José dos Campos - SP.";(12) 33410222;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Médio;;-23.2161995;-45.9046434
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ROSANA SCARPEL DA SILVA PROFA EMEI;35004390;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"JOAO DE OLIVEIRA E SILVA, S/N ALTURA DO 493. CAMPO DOS ALEMAES. 12239-290 São José dos Campos - SP.";(12) 39661275;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.2744723;-45.9001635
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA DE EDUCACAO INFANTIL MARIA DAS DORES II;35004446;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"CALI, 106 JARDIM AMERICA. 12235-010 São José dos Campos - SP.";(12) 39379810;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-23.2312844;-45.900146
ESCOLA PARALISADA;ESCOLA BRASILEIRA DE ENSINO A DISTANCIA;35004525;SP;São José dos Campos;Urbana;Não Informado;Privada;"DOUTOR NELSON DAVILA, 389 SL 94B. JARDIM SAO DIMAS. 12245-031 São José dos Campos - SP.";(12) 39218187;Privada;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARIA APARECIDA CANDELARIA BERNARDES OTTOBONI PROFA EMEI;35004588;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RUI BARBOSA, 3613 ALTO DA PONTE. 12212-531 São José dos Campos - SP.";(12) 39427704;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil;;-23.1512098;-45.9040354
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;DENISE PRATES FERNANDES ROCHA EMEI PROFA;35004638;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"NOVA PADUA, 209 VILA MONTERREY. 12226-795 São José dos Campos - SP.";(12) 39122523;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.2269394;-45.7933729
